request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This full upfront payment preserves your ZAR 31200 minimum emergency buffer and avoids financing costs.
request_168,40409.47,affordable_with_plan,partial_payment,2026-01-07:40409.47|2026-01-15:8970.53,2026-01-15,none,"Pay INR 40,409.47 today and the remaining INR 8970.53 on 15 January 2026. This split schedule preserves your INR 114400 reserve across all payment dates."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This full upfront payment preserves your ZAR 18700 minimum emergency buffer and avoids financing costs.
request_170,31515157.86,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. Spreading payments maintains your IDR 24715800 safety buffer while meeting scheduled obligations."
request_171,45.51,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying EUR 1,878.80 would breach your EUR 500 minimum balance floor."
request_172,8940.14,affordable_with_plan,partial_payment,2024-06-05:8940.14|2024-06-15:1259.86,2024-06-15,none,"Pay ZAR 8,940.14 today and the remaining ZAR 1259.86 on 15 June 2024. This split schedule preserves your ZAR 27200 reserve across all payment dates."
request_173,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 113000 would breach your INR 79100 minimum balance floor.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. Spreading payments maintains your EUR 700 safety buffer while meeting scheduled obligations."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This full upfront payment preserves your EUR 1700 minimum emergency buffer and avoids financing costs."
request_176,364.02,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying EUR 1,239.70 would breach your EUR 600 minimum balance floor."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This full upfront payment preserves your USD 1300 minimum emergency buffer and avoids financing costs."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. Spreading payments maintains your EUR 1400 safety buffer while meeting scheduled obligations."
request_179,9366387.53,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Pay IDR 41648000 in full on 15 July 2025. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 41430800 minimum balance.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This full upfront payment preserves your INR 37300 minimum emergency buffer and avoids financing costs.
request_181,425.17,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying USD 5,059.20 would breach your USD 2000 minimum balance floor."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This full upfront payment preserves your ZAR 31100 minimum emergency buffer and avoids financing costs.
request_183,24764917.63,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. Spreading payments maintains your IDR 11878300 safety buffer while meeting scheduled obligations."
request_184,14182.41,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 251900 would breach your INR 110800 minimum balance floor.
request_185,404.73,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1300 minimum balance."
request_186,8466.19,affordable_later,wait,2026-02-15:26554,2026-02-15,none,Pay ZAR 26554 in full on 15 February 2026. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 22000 minimum balance.
request_187,38734.16,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Pay INR 187500 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your INR 128300 minimum balance.
request_188,122.57,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying EUR 2464 would breach your EUR 900 minimum balance floor.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This full upfront payment preserves your EUR 400 minimum emergency buffer and avoids financing costs.
request_190,671.33,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1600 minimum balance."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This full upfront payment preserves your EUR 500 minimum emergency buffer and avoids financing costs.
request_192,181.75,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying USD 2046 would breach your USD 1000 minimum balance floor.
request_193,82.19,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. Spreading payments maintains your EUR 1000 safety buffer while meeting scheduled obligations."
request_194,29783.15,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Pay INR 132800 in full on 23 October 2025. Waiting for confirmed income settlements eliminates financing fees and protects your INR 113600 minimum balance.
request_195,1082.3,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. Spreading payments maintains your EUR 700 safety buffer while meeting scheduled obligations."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This full upfront payment preserves your EUR 500 minimum emergency buffer and avoids financing costs.
request_197,26069539.28,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 50939000 would breach your IDR 26245900 minimum balance floor.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This full upfront payment preserves your INR 124300 minimum emergency buffer and avoids financing costs.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. Spreading payments maintains your IDR 25359500 safety buffer while meeting scheduled obligations."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This full upfront payment preserves your IDR 20114600 minimum emergency buffer and avoids financing costs.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This full upfront payment preserves your IDR 17304500 minimum emergency buffer and avoids financing costs.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This full upfront payment preserves your INR 147800 minimum emergency buffer and avoids financing costs.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. Spreading payments maintains your EUR 1400 safety buffer while meeting scheduled obligations."
request_204,561.87,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,Pay EUR 588.74 in full on 15 January 2026. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1300 minimum balance.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This full upfront payment preserves your IDR 13994300 minimum emergency buffer and avoids financing costs.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. Spreading payments maintains your EUR 900 safety buffer while meeting scheduled obligations."
request_207,4921.59,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 15 July 2026. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 13600 minimum balance.
request_208,4073800.73,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 in full on 15 June 2024. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 10470700 minimum balance.
request_209,1572.6,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 56914 would breach your ZAR 18400 minimum balance floor.
request_210,962.08,affordable_with_plan,partial_payment,2026-04-06:962.08|2026-04-15:397.94,2026-04-15,none,Pay USD 962.08 today and the remaining USD 397.94 on 15 April 2026. This split schedule preserves your USD 2000 reserve across all payment dates.
request_211,369.91,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Pay EUR 1,788.60 in full on 15 October 2024. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 1500 minimum balance."
request_212,3097381.87,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 71934000 would breach your IDR 29579800 minimum balance floor.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 21 January 2026. Spreading payments maintains your USD 2100 safety buffer while meeting scheduled obligations."
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of INR 36270, starting 4 December 2024. Spreading payments maintains your INR 174900 safety buffer while meeting scheduled obligations."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. Spreading payments maintains your ZAR 15700 safety buffer while meeting scheduled obligations."
request_216,513.52,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 15 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1800 minimum balance."
request_217,20992.31,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. Spreading payments maintains your ZAR 26800 safety buffer while meeting scheduled obligations."
request_218,25354023.17,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. Spreading payments maintains your IDR 34477200 safety buffer while meeting scheduled obligations."
request_219,749.96,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. Spreading payments maintains your EUR 1100 safety buffer while meeting scheduled obligations."
request_220,96.43,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying EUR 3,118.50 would breach your EUR 1100 minimum balance floor."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This full upfront payment preserves your INR 81500 minimum emergency buffer and avoids financing costs.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This full upfront payment preserves your ZAR 27300 minimum emergency buffer and avoids financing costs.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This full upfront payment preserves your EUR 800 minimum emergency buffer and avoids financing costs.
request_224,9587516.66,affordable_with_plan,partial_payment,2025-02-04:9587516.66|2025-02-15:739483.34,2025-02-15,none,"Pay IDR 9,587,516.66 today and the remaining IDR 739483.34 on 15 February 2025. This split schedule preserves your IDR 22187600 reserve across all payment dates."
request_225,11193085.16,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. Spreading payments maintains your IDR 17670700 safety buffer while meeting scheduled obligations."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This full upfront payment preserves your INR 209400 minimum emergency buffer and avoids financing costs.
request_227,7684.53,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 259700 would breach your INR 62900 minimum balance floor.
request_228,2284236.76,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 63327000 would breach your IDR 26191200 minimum balance floor.
request_229,431.71,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. Spreading payments maintains your EUR 1000 safety buffer while meeting scheduled obligations."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This full upfront payment preserves your EUR 2000 minimum emergency buffer and avoids financing costs."
request_231,35270.94,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. Spreading payments maintains your ZAR 24300 safety buffer while meeting scheduled obligations."
request_232,674.76,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Pay EUR 1,970.10 in full on 15 August 2024. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 2400 minimum balance."
request_233,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 6241000 would breach your IDR 10365700 minimum balance floor.
request_234,200.57,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 700 minimum balance."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This full upfront payment preserves your USD 700 minimum emergency buffer and avoids financing costs.
request_236,5928005.37,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 52383000 would breach your IDR 16768600 minimum balance floor.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This full upfront payment preserves your IDR 22431500 minimum emergency buffer and avoids financing costs.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. Spreading payments maintains your USD 700 safety buffer while meeting scheduled obligations."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This full upfront payment preserves your USD 600 minimum emergency buffer and avoids financing costs.
request_240,15022.23,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 101200 would breach your INR 52800 minimum balance floor.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. Spreading payments maintains your IDR 19252000 safety buffer while meeting scheduled obligations."
request_242,47.46,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying EUR 1,966.80 would breach your EUR 600 minimum balance floor."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This full upfront payment preserves your ZAR 19900 minimum emergency buffer and avoids financing costs.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This full upfront payment preserves your ZAR 45900 minimum emergency buffer and avoids financing costs.
request_245,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying INR 128500 would breach your INR 94600 minimum balance floor.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. Spreading payments maintains your ZAR 39300 safety buffer while meeting scheduled obligations."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This full upfront payment preserves your EUR 1300 minimum emergency buffer and avoids financing costs."
request_248,906.87,affordable_with_plan,partial_payment,2025-02-07:906.87|2025-04-19:1058.73,2025-04-19,none,Pay USD 906.87 today and the remaining USD 1058.73 on 19 April 2025. This split schedule preserves your USD 1300 reserve across all payment dates.
request_249,181.52,affordable_later,wait,2026-02-15:643.20,2026-02-15,none,Pay USD 643.20 in full on 15 February 2026. Waiting for confirmed income settlements eliminates financing fees and protects your USD 600 minimum balance.
request_250,15552.88,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 124278 would breach your ZAR 35300 minimum balance floor.
request_251,1467.89,not_affordable,not_recommended,none,2025-07-15,none,"Not safely affordable within the 90-day forecast. Paying EUR 1,513.60 would breach your EUR 1300 minimum balance floor."
request_252,4310884.81,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Pay IDR 28082000 in full on 15 September 2026. Waiting for confirmed income settlements eliminates financing fees and protects your IDR 15152200 minimum balance.
request_253,1522.01,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. Spreading payments maintains your EUR 2300 safety buffer while meeting scheduled obligations."
request_254,627.29,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Waiting for confirmed income settlements eliminates financing fees and protects your USD 2500 minimum balance."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This full upfront payment preserves your IDR 9813900 minimum emergency buffer and avoids financing costs.
request_256,157760.74,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. Spreading payments maintains your INR 168600 safety buffer while meeting scheduled obligations."
request_257,549.89,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,"Pay USD 1,352.40 in full on 15 December 2025. Waiting for confirmed income settlements eliminates financing fees and protects your USD 1600 minimum balance."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This full upfront payment preserves your USD 500 minimum emergency buffer and avoids financing costs."
request_259,246.84,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your EUR 600 minimum balance.
request_260,8983939.74,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying IDR 52079000 would breach your IDR 20727700 minimum balance floor.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This full upfront payment preserves your EUR 1500 minimum emergency buffer and avoids financing costs."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This full upfront payment preserves your IDR 31018500 minimum emergency buffer and avoids financing costs.
request_263,0.0,not_affordable,not_recommended,none,,none,Not safely affordable within the 90-day forecast. Paying ZAR 51546 would breach your ZAR 24100 minimum balance floor.
request_264,25513.52,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Pay INR 111300 in full on 15 May 2026. Waiting for confirmed income settlements eliminates financing fees and protects your INR 59500 minimum balance.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This full upfront payment preserves your INR 189700 minimum emergency buffer and avoids financing costs.
request_266,756.0,not_affordable,not_recommended,none,2025-09-15,none,Not safely affordable within the 90-day forecast. Paying EUR 935 would breach your EUR 900 minimum balance floor.
request_267,1743.16,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. Spreading payments maintains your EUR 1500 safety buffer while meeting scheduled obligations."
request_268,1059.14,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. Spreading payments maintains your EUR 1400 safety buffer while meeting scheduled obligations."
request_269,9698.85,affordable_later,wait,2025-11-15:15490,2025-11-15,none,Pay ZAR 15490 in full on 15 November 2025. Waiting for confirmed income settlements eliminates financing fees and protects your ZAR 23100 minimum balance.
request_270,149.37,not_affordable,not_recommended,none,,none,"Not safely affordable within the 90-day forecast. Paying USD 3,028.80 would breach your USD 1400 minimum balance floor."
request_271,22696.71,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Pay INR 91300 in full on 15 November 2024. Waiting for confirmed income settlements eliminates financing fees and protects your INR 58200 minimum balance.
request_272,5470238.96,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. Spreading payments maintains your IDR 7508600 safety buffer while meeting scheduled obligations."
request_273,10863868.86,affordable_with_plan,partial_payment,2026-04-07:10863868.86|2026-04-15:4997131.14,2026-04-15,none,"Pay IDR 10,863,868.86 today and the remaining IDR 4997131.14 on 15 April 2026. This split schedule preserves your IDR 18774600 reserve across all payment dates."
request_274,2470.23,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. Spreading payments maintains your EUR 1800 safety buffer while meeting scheduled obligations."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This full upfront payment preserves your IDR 12760100 minimum emergency buffer and avoids financing costs.
